,company_logo,company_name,company_slug,company_url,job_title,job_url,level,location,salary_max,salary_min,tags
0,https://img.blognone.com/jobs/prod/56x56/logo/mekha-co-ltd.jpg,"MeKha CO., LTD",mekha-co-ltd,https://jobs.blognone.com/company/mekha-co-ltd,Senior Full Stack Developer,https://jobs.blognone.com/company/mekha-co-ltd/job/senior-full-stack-de-QtnQ,"Senior-Level, Full time", - บางรัก กรุงเทพมหานคร,80000,50000,"#bootstrap,#frontend,#php,#react-native,#symfony"
1,https://img.blognone.com/jobs/prod/56x56/logo/socket-9-co-ltd_4mB5hOt.jpg,"Socket 9 Co., Ltd.",socket-9-co-ltd,https://jobs.blognone.com/company/socket-9-co-ltd,Senior Back-end web developer,https://jobs.blognone.com/company/socket-9-co-ltd/job/back-end-web-develop-kGge,"Senior-Level, Full time", -  กรุงเทพมหานคร,50000,35000,"#c-sharp,#golang,#php"
2,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Senior Mobile Developer (iOS),https://jobs.blognone.com/company/t2p-company-limited/job/senior-mobile-develo-ZQRp,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,40000,"#ios,#mvvm,#objective-c,#swift,#tdd"
3,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Senior Mobile Developer (Android),https://jobs.blognone.com/company/t2p-company-limited/job/senior-mobile-develo-MpfB,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,40000,"#android,#java,#kotlin,#mvvm,#tdd"
4,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Senior Marketing Executive,https://jobs.blognone.com/company/t2p-company-limited/job/senior-junior-qa-t14u,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,50000,40000,"#collaboration,#communication,#planner,#social-media-marketing"
5,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Senior / Middle Developer,https://jobs.blognone.com/company/t2p-company-limited/job/senior-full-stack-de-3sBE,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,80000,30000,"#golang,#php,#tdd"
6,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Sale Executive,https://jobs.blognone.com/company/t2p-company-limited/job/sale-executive-p29L,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,40000,20000,"#business,#collaboration,#presentation,#sales"
7,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Project Manager,https://jobs.blognone.com/company/t2p-company-limited/job/project-manager-QPmi,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,60000,40000,"#communication,#problem-solving,#project-management"
8,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Business Development Specialist,https://jobs.blognone.com/company/t2p-company-limited/job/business-development-kx2z,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,50000,"#collaboration,#communication,#leadership,#problem-solving,#project-management"
9,https://img.blognone.com/jobs/prod/56x56/logo/t2p-company-limited.jpg,T2P Company Limited,t2p-company-limited,https://jobs.blognone.com/company/t2p-company-limited,Application Support,https://jobs.blognone.com/company/t2p-company-limited/job/application-support-ckKO,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,30000,25000,"#crm,#pos"
